"Nr. Ctr.","Adresa","Nr","Sector","Anul construirii","Regimul de inaltime","Numar de apartamente","Anul Elaborarii Expertizei Tehnice","Expertul tehnic atestat pentru cerinta esentiala de calitate-rezistenta mecanica si stabilitate - M.D.L.P.A.","Ultima incadrare in clasa de risc","Incadrari anterioare in clasa de risc","Observatii"
"773","Strada GABROVENI","2","Sector 3","1940","S+P+7E","0","2013","Maria DARIE","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2013"
"775","Bulevardul GHEORGHE MAGHERU","43","Sector 1","1934","S+P+9E","48","1998","Grigore ARSENIE","3.Clasa de risc seismic RsIII.",,
"776","Bulevardul GHEORGHE MAGHERU","32÷36 (imobile B+E)","Sector 1","1959","S+P+9E; S+P+7E","0","2010","Traian POPP","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2010"
"777","Calea GIULESTI","46÷48 (bloc 4+4anexa; tronson 1+2+3+4)","Sector 6","1961","S+P+7E + 1E retras","0","2018","Dan POPESCU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic RsIII in anul 2018 (documentatie tehnico economica elaborata pentru cresterea eficientei energetice a constructiei)"
"778","Strada GRIGORE ALEXANDRESCU","100","Sector 1","1940","S+P+2E","7","1993","Rodica ANGELESCU","3.Clasa de risc seismic RsIII.",,
"779","Strada GRIGORE COBALCESCU","49","Sector 1","1922","S+P+1E","0","2011","SERBAN PAUNESCU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2011"
"780","Strada GRIGORE COBALCESCU (hotel ""TRIANON"")","9","Sector 1","1959","S+P+1E+Ma","0","2017","Augustin NASTASE","3.Clasa de risc seismic RsIII.",,"AC nr.534/81/C/15440/2004; PVRTL nr.1/2006"
"781","Calea GRIVITEI","184B (fost 184B -corp A)","Sector 1","1934÷1935","S+P+3E","11","2013","Horia DUGAN","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2013"
"782","Calea GRIVITEI","240","Sector 1","1960","S+P+7E","96","2001","Rodica VASILESCU","3.Clasa de risc seismic RsIII.",,
"783","Strada IACOB FELIX","7","Sector 1","1940÷1950","S+P+3E+Ma","10","2005","Anton SUITARIU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2005"
"784","Strada IANCU CAPITANU","19","Sector 2","1940","S+P+2E+Ma","0","2015","Dan POPESCU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2015"
