"Nr. Ctr.","Adresa","Nr","Sector","Anul construirii","Regimul de inaltime","Numar de apartamente","Anul Elaborarii Expertizei Tehnice","Expertul tehnic atestat pentru cerinta esentiala de calitate-rezistenta mecanica si stabilitate - M.D.L.P.A.","Ultima incadrare in clasa de risc","Incadrari anterioare in clasa de risc","Observatii"
"663","Strada SFINTII APOSTOLI","1","Sector 1","1897","S+P+2E","11","1997","Emilian TITARU","2.Clasa de risc seismic RsII.",,
"664","Strada SFINTII VOIEVOZI","29","Sector 1","1940","S+P+4E+Ma","29","1999","ing. Mihai URSACHESCU","2.Clasa de risc seismic RsII.",,
"665","Strada SFINTII VOIEVOZI","55","Sector 1","1920","S+P+1E+Ma","4","2016","Cristian ENESCU","2.Clasa de risc seismic RsII.",,"Incadrare in clasa de risc seismic in anul 2016"
"666","Strada SILFIDELOR","4","Sector 5","1939","S+P+7E","27","1999","Maria DARIE","2.Clasa de risc seismic RsII.",,
"667","Strada SMARDAN","19","Sector 3","1900","S+P+2E",,"2019","Ionel BELGUN","2.Clasa de risc seismic RsII.",,"Incadrat in clasa II de risc seismic in anul 2019"
"668","Strada SMARDAN","18","Sector 3","1940","S+P+7E","31","2020","ing. Nicolae P. Teodor","2.Clasa de risc seismic RsII.","INCADRAT IN CATEGORIA DE URGENTA U1- 1994-ing. Dan Dumitru POPESCU;  RSI- 2014  ing. Dan Dumitru POPESCU;                                                                                           ",
"669","Strada SOARELUI","3÷5","Sector 3","1900","S+P+1E+Pod","3","1993","Adina SIMION","2.Clasa de risc seismic RsII.",,
"670","Strada SPATARU PREDA (TESATORIILE REUNITE S.A.)","5 (corp C1)","Sector 5","1938÷1939","S+P+1E","0","2016","Aurelian PAVELESCU","2.Clasa de risc seismic RsII.",,
"671","Strada SPATARU PREDA (TESATORIILE REUNITE S.A.)","5 (corp C2)","Sector 5","1979÷1980","P","0","2016","Dinu CIOBOTARU","2.Clasa de risc seismic RsII.",,
"672","Strada SPATARU PREDA (TESATORIILE REUNITE S.A.)","5 (corp C6)","Sector 5","1976÷1977","P+1E","0","2016","Dinu CIOBOTARU","2.Clasa de risc seismic RsII.",,
"673","Strada SPATARUL NICOLAE MILESCU","6","Sector 2","1933","S+P+3E","8","1997","Nicolae CONSTANTINESCU","2.Clasa de risc seismic RsII.",,
"674","Strada SPATARULUI","1A","Sector 2","1942","S+P+7E","15","1997","Niculaie TUDOSE","2.Clasa de risc seismic RsII.",,
"675","Intrarea SPATARULUI","3","Sector 2","1939","S+P+3E+Ma","8","1993;1997","Marin TEODOR","2.Clasa de risc seismic RsII.",,
"676","Strada SPERANTEI","13","Sector 2","1940","S+P+5E+Ma","11","1997","Stere CARACOTI","2.Clasa de risc seismic RsII.",,
"677","Strada SPERANTEI","26","Sector 2","1941","S+P+6E","26","1997","Marin TEODOR","2.Clasa de risc seismic RsII.",,
"678","Strada SPIRU HARET","8","Sector 1","1886","Ds+P+1E","-","2016","Constantin FIRTEA","2.Clasa de risc seismic RsII.",,
"679","Intrarea STAFETEI","2A","Sector 3","1920","S+P+3E","8","1993","Adina SIMION","2.Clasa de risc seismic RsII.",,
"680","Soseaua STEFAN CEL MARE","5","Sector 2","1962","S+P+8E","134","1997","Marin TEODOR","2.Clasa de risc seismic RsII.",,
"681","Soseaua STEFAN CEL MARE","18","Sector 2","1957","S+P+6E","21","2001","Adina SIMION","2.Clasa de risc seismic RsII.",,
"682","Soseaua STEFAN CEL MARE","20","Sector 2","1936","P+3E","6","2010","ing. Mihai URSACHESCU","2.Clasa de risc seismic RsII.",,
"683","Soseaua STEFAN CEL MARE","27","Sector 2","1960","S+P+6E","49","2000","Rodica VASILESCU","2.Clasa de risc seismic RsII.",,
"684","Soseaua STEFAN CEL MARE","42","Sector 2","1960","S+P+6E","24","2001","Rodica VASILESCU","2.Clasa de risc seismic RsII.",,
"685","Strada STEFAN MIHAILEANU","7","Sector 2","1931","S+P+1E+Ma","1","1997","Nicolae CONSTANTINESCU","5.CONSOLIDATE	",,"A.C. nr. 301/989920/01.06.2011 și P.V.R.T.L. nr. 1088313/24.07.2012"
"686","Strada STEFAN MIHAILEANU","11A (corp A)","Sector 2","1939÷1940","S+P+1E+Ma","4","2008","Eugeniu DUMITRACHE","2.Clasa de risc seismic RsII.",,"Incadrare in clasa de risc seismic in anul 2008"
"687","Strada STEFAN PROTOPOPESCU","1 (bloc C6)","Sector 1","1962","S+P+11E","0","2008","Dan POPESCU","2.Clasa de risc seismic RsII.",,"Incadrare in clasa de risc seismic in anul 2008"
"688","Strada STELEA SPATARU","12","Sector 3","1906÷1910","Ds+P+1E+Ma","0","2016","ing. Mihai URSACHESCU","2.Clasa de risc seismic RsII.",,"Incadrare in clasa de risc seismic in anul 2016"
"689","Strada STIRBEI VODA","23","Sector 1","1941","S+P+7E+Ma","25","1999","Marin TEODOR","2.Clasa de risc seismic RsII.",,
"690","Strada STIRBEI VODA","122 (corp A+B)","Sector 1","1920","S+P+1E ; S+P","4","1993","Silvia CARAMAN","2.Clasa de risc seismic RsII.",,
"691","Strada STIRBEI VODA","129","Sector 1","1929","S+P+3E","8","1996","Vladimir AMBROZIE","2.Clasa de risc seismic RsII.",,
"692","Strada STRADUINTEI","6 (bloc R5)","Sector 4","1964","S+P+9E","82","2000","Gabriel NICULESCU","2.Clasa de risc seismic RsII.",,
"693","Drumul TABEREI","20 (bloc C2)","Sector 6","1962","S+P+8E","216","2001","Mircea CONDRUT","2.Clasa de risc seismic RsII.",,
"694","Strada TACHE GHEORGHE","13 (bloc 17; tr.I÷VIII)","Sector 4","1965","S+P+9E","320","1996","Corneliu MUDRACENCO","2.Clasa de risc seismic RsII.",,
"695","Strada TACHE IONESCU","8","Sector 1","1938","S+P+11E","51","1998","Anatolie CAZACLIU","2.Clasa de risc seismic RsII.",,
"696","Strada TARGU NEAMT","2 (bloc R7)","Sector 6","1971","S+P+10E","88","2000","Zefir APOSTOL","2.Clasa de risc seismic RsII.",,
"697","Strada TELEAJEN","42","Sector 2","1967","S+P+3E","0","1993","Adina SIMION","2.Clasa de risc seismic RsII.",,
"698","Strada TELEAJEN","72 (corp A+B)","Sector 2","1924; 1935","S+P+1E; S+P+1E+Ma","6","1993","Dan POPESCU","2.Clasa de risc seismic RsII.",,
"699","Strada TEODOSIE RUDEANU","70","Sector 1","1914","S+P+1E","1","1997","Nicolae CONSTANTINESCU","2.Clasa de risc seismic RsII.",,
"700","Strada TOAMNEI","8","Sector 2","1942","S+P+5E","27","2007","ing. Mihai URSACHESCU","2.Clasa de risc seismic RsII.",,"Incadrare in clasa de risc seismic in anul 2007"
"701","Strada TOAMNEI","125","Sector 2","1921","S+P+3E","5","1993","Adina SIMION","2.Clasa de risc seismic RsII.",,
"702","Strada TOAMNEI","56÷58","Sector 2","1922","S+P+2E+Pod","4","1993","Silvia CARAMAN","2.Clasa de risc seismic RsII.",,
"703","Strada TREI SCAUNE","15","Sector 2","1937","S+P+Ma","1","1997","Niculaie TUDOSE","2.Clasa de risc seismic RsII.",,
"704","Strada TUDOR ARGHEZI","23","Sector 2","1890","S+P+2E","0","1995","Ovidiu MANOIU","2.Clasa de risc seismic RsII.",,
"705","Strada TUDOR ARGHEZI","32","Sector 2","1936","P+Mz+7+Ma; P+Mz+8+Ma","48","1999","Mircea NEICU. Grigore ARSENIE","2.Clasa de risc seismic RsII.",,
"706","Strada VALERIU BRANISTE","23","Sector 3","1928","S+P+2E+Ma","10","1997","Alexandru HRISTOFOROV","2.Clasa de risc seismic RsII.",,
"707","Strada VALERIU BRANISTE","60A","Sector 3","1938","S+P+3E","8","1997","Alexandru HRISTOFOROV","2.Clasa de risc seismic RsII.",,
"708","Strada VASILE ALECSANDRI","5","Sector 1","1930","Sp+P+2E+Ma",,"2018","Mihai Voiculescu","2.Clasa de risc seismic RsII.",,
"709","Strada VASILE CONTA","14","Sector 2","1920","S+P+1E","7","1993","Adina SIMION","2.Clasa de risc seismic RsII.",,
"710","Strada VASILE CONTA","3÷5 (corp A+B+C)","Sector 2","1940","S+P+5E+Ma","99","1997","Alexandrina PRETORIAN","2.Clasa de risc seismic RsII.",,
"711","Strada VASILE CONTA","7÷9 (corp D+E+F)","Sector 2","1941","S+P+910E","99","1997","Alexandrina PRETORIAN","2.Clasa de risc seismic RsII.",,
"712","Strada VASILE LASCAR","8","Sector 2","1935","S+Ds+P+5E+Ma","0","2009","Rodica VASILESCU","2.Clasa de risc seismic RsII.",,
"713","Strada VASILE LASCAR","10","Sector 2","1925","S+P+4E+Ma","10","1993","Adina SIMION","2.Clasa de risc seismic RsII.",,
"714","Strada VASILE LASCAR","23÷25","Sector 2","1938","S+P+8E","64","1997","Dan POPESCU","2.Clasa de risc seismic RsII.",,
"715","Strada VASILE LASCAR","46","Sector 2","1947","S+P+8E+Ma","14","2002","Gabriel NICULESCU","2.Clasa de risc seismic RsII.",,
"716","Strada VASILE LASCAR","100","Sector 2","1938","S+P+5E+Ma","22","2017","Horia DUGAN","2.Clasa de risc seismic RsII.",,"Incadrare in clasa de risc seismic in anul 2017"
"717","Strada VASILE LASCAR","111","Sector 2","1936","S+P+3E+Ma","17","1993","Adina SIMION","2.Clasa de risc seismic RsII.",,
"718","Strada VASILE LUCACIU","4 (corp B+C)","Sector 3","1900","S+P+1E+Ma","3","1993","Adina SIMION","2.Clasa de risc seismic RsII.",,
"719","Strada VASILE LUCACIU","101","Sector 3","1940","S+P+3E","13","1994","Adina SIMION","2.Clasa de risc seismic RsII.",,
"720","Strada VICTOR BABES","7","Sector 5","1940","S+P+2E+Ma","7","1997","ing. Mihai URSACHESCU","2.Clasa de risc seismic RsII.",,
"721","Calea VICTORIEI","1÷5 (corp A+B+C+D)","Sector 3","1961","S+P+9E;P+9ES+Mz+9; S+P+Mz+9; P+9","148","2011","Dan POPESCU","2.Clasa de risc seismic RsII.",,
"722","Calea VICTORIEI","2÷4","Sector 3","1928","S+P+8E","72","2017","Mihai VOICULESCU","2.Clasa de risc seismic RsII.","Imobilul a mai fost incadrat  in RSI; expertiza tehnica in an 1993 -Voicu DORDEA
","Reincadrare in RsII in anul 2017 + acordul asociatiei proprietarilor (Imobilul a mai fost incadrat  in RsI de expertul tehnic atestat M.D.R.A.P. Voicu DORDEA)"
"723","Calea VICTORIEI","22÷24","Sector 3","1939","2S+P+8E","0","2012","Adina SIMION","2.Clasa de risc seismic RsII.",,"Incadrare in clasa de risc seismic in anul 2012"
"724","Calea VICTORIEI","25","Sector 3","1936","2S+P+12E","49","2012","Mihail STANESCU","2.Clasa de risc seismic RsII.","Imobilul a mai fost incadrat  in RSI; expertiza tehnica in an 1999 - expert tehnic atestat M.D.R.A.P. M. NaVODAriu)","Reincadrare in RsII in anul 2012 + acordul asociatiei proprietarilor (Imobilul a mai fost incadrat  in RsI de expertul tehnic atestat M.D.R.A.P. Mircea MIRONESCU)"
"725","Calea VICTORIEI","103÷105 (corp A+B)","Sector 1","1959","S+P+10E; S+P+7E","81","1994","DRAGOS BADEA","2.Clasa de risc seismic RsII.",,
"726","Calea VICTORIEI","128B","Sector 1","1935","S+P+3E+Ma","22","2000","Niculaie TUDOSE","2.Clasa de risc seismic RsII.",,
"727","Calea VICTORIEI","136","Sector 1","1958","S+P+7E","54","2000","ing. Mihai URSACHESCU","2.Clasa de risc seismic RsII.",,
"728","Calea VICTORIEI","143","Sector 1","1921","S+P+5E+Ma","82","1995","Horia DUGAN","2.Clasa de risc seismic RsII.",,
"729","Calea VICTORIEI","214","Sector 1","1941","S+P+8E","69","2016","Dan POPESCU","2.Clasa de risc seismic RsII.","Imobilul a mai fost incadrat  in RsI de expertul tehnic atestat M.D.R.A.P. DRAGOS BADEA","Reincadrare in RsII in anul 2016 + acordul asociatiei proprietarilor (Imobilul a mai fost incadrat  in RsI de expertul tehnic atestat M.D.R.A.P. DRAGOS BADEA)"
"730","Soseaua VIILOR","95 (bloc 102)","Sector 5","1962","S+P+7E","192","2001","Ion LUNGU","2.Clasa de risc seismic RsII.",,
"731","Strada VIISOAREI","2","Sector 1","1932","S+P+2E+Ma","12","1997","Vladimir AMBROZIE","2.Clasa de risc seismic RsII.",,
"732","Strada VIITORULUI","107","Sector 2","1935","S+P+2E+Ma","6","1997","Nicolae CONSTANTINESCU","2.Clasa de risc seismic RsII.",,
"733","Strada VISARION","3","Sector 1","1928","S+P+2E+Ma","9","1997","Alexandru HRISTOFOROV","2.Clasa de risc seismic RsII.",,
"734","Strada VULTURILOR","48","Sector 3","1939","S+P+2E+Ma","8","1997","Dan POPESCU","2.Clasa de risc seismic RsII.",,
"735","Strada WASHINGTON","2","Sector 1","1945","S+P+4E+Ma","13","1996","Alexandru HRISTOFOROV","2.Clasa de risc seismic RsII.",,
"736","Strada WASHINGTON","4","Sector 1","1945","S+P+2E","5","1995","Armand NEFIAN","2.Clasa de risc seismic RsII.",,
"737","Strada ACADEMIEI","1A","Sector 3","1890","S+P+2E","10","2010","Ion VARSA","3.Clasa de risc seismic RsIII.",,
"738","Strada ADY ENDRE","7","Sector 1","1939","S+P+1E+Ma","3","2015","ing. Mihai URSACHESCU","3.Clasa de risc seismic RsIII.",,
"739","Strada AGRICULTORI","74 (corp B)","Sector 2","1945","S+P+3E","34","1993","Radu PETROVICI","3.Clasa de risc seismic RsIII.",,
"740","Bulevardul ALEXANDRU OBREGIA","2 (corp A)","Sector 4","1977÷1979","S+P+15E","84","2016","Dan CAPATINA","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2016"
"741","Strada ARMONIEI","1","Sector 2","1900","S+P+Hp+1E","0","2014","ing. Mihai URSACHESCU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2014"
"742","Strada AURA BUZESCU","1","Sector 2","1939","S+P+2E","4","2010","Traian POPP","3.Clasa de risc seismic RsIII.",,
"743","Strada AUREL VLAICU","68","Sector 2","1936","S+P+6E","13","1997","Grigore ARSENIE","3.Clasa de risc seismic RsIII.",,
"744","Bulevardul AVIATORILOR","65 (corp B)","Sector 1","1933","S+P+1E","1","1997","Radu AGENT","3.Clasa de risc seismic RsIII.",,
"745","Strada BALADEI","3 (bloc 61)","Sector 4","1980","S+P+8E","80","2001","DRAGOS BADEA","3.Clasa de risc seismic RsIII.",,
"746","Strada BALCESTI (BOIER HOSTEL BUCHAREST S.R.L.)","9 (corp B - tronson I)","Sector 3","1917","Spartial+P+Ma","0","2016","Nicolae GHITA","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2016 + declaratiile autentificate notarial ale proprietarului si expertului tehnic"
"747","Bulevardul BANU MANTA","7","Sector 1","1931","S+P+2E","20","1996","Vladimir AMBROZIE","3.Clasa de risc seismic RsIII.",,
"748","Aleea BARAJUL SADULUI","3÷5 (bloc N12-13)","Sector 3","1975","S+P+13E+1Etehnic","166","2013","Gavril POP","3.Clasa de risc seismic RsIII.","INCADRAT IN CATEGORIA DE URGENTA U1(1993 - expert tehnic atestat M.D.R.A.P. Laurentiu SPOIALA); Reincadrat In clasa de risc RS1 - expert tehnic atestat M.D.R.A.P.  Laurentiu SPOIALA)","Incadrare in clasa de risc seismic RsIII spre RsII in anul 2013 (documentatie tehnico economica elaborata pentru cresterea eficientei energetice a constructiei)"
"749","Strada BLANARI","9","Sector 3","1880","S+P+2E+Pod","3","1993","ing. Mihai URSACHESCU","3.Clasa de risc seismic RsIII.","Imobilul a mai fost incadrat  in clasa de urgenta U2-1993 - expert tehnic atestat M.D.R.A.P. Mircea CONDRUT; incadrat in RS1-1997 -  expert tehnic atestat M.D.R.A.P Mircea CONDRUT","Reincadrare in RsIII in anul 2017 (Imobilul a mai fost incadrat  in RsI de expertul tehnic atestat M.D.R.A.P. Laurentiu SPOIALA)"
"750","Strada BRASOV","19 (bloc OD5)","Sector 6","1965","S+P+8E","216","2013","Vasile BOGDAN","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2013"
"751","Strada C. A. ROSETTI","34","Sector 2","1934","S+P+2E","22","2012","Nicolae TUDOSE","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2012"
"752","Strada CADEREA BASTILIEI","19A","Sector 1","1935","S+P+3E+Ma","10","2010","Constantin RACA","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2010"
"753","Calea CALARASILOR","41 (corp B)","Sector 3","1928","S+P+1E","11","1996","Vladimir AMBROZIE","3.Clasa de risc seismic RsIII.",,
"754","Strada CALUSEI","11","Sector 2","1929","S+P+1E+Ma","3","2013","Apostol ZEFIR","3.Clasa de risc seismic RsIII.","INCADRAT IN CATEGORIA DE URGENTA U1(1994 - expert tehnic atestat M.D.R.A.P. Armand NEFIAN); Reincadrat In clasa de risc RS1- expert tehnic atestat M.D.R.A.P.  Armand NEFIAN)","Incadrare in clasa de risc seismic RsIII spre RsIV in anul 2013"
"755","Aleea CIRCULUI","15","Sector 2","1960","S+P+1E","0","2006","Nicolae ALEMAN","3.Clasa de risc seismic RsIII.",,
"756","Strada CLOPOTARII VECHI","18","Sector 1","1925","S+P+3E","12","2006","Constantin PAVEL","3.Clasa de risc seismic RsIII.",,
"757","Strada CONSTANTIN COANDA","5","Sector 1","1935","S+P+2E+Ma","6","2016","Armand NEFIAN","3.Clasa de risc seismic RsIII.","INCADRAT IN CATEGORIA DE URGENTA U1(1996 - expert tehnic atestat M.D.R.A.P. M. Gabor); Reincadrat  In clasa de risc RsII-- expert tehnic atestat M.D.R.A.P.  Octavian Manoiu)","Reincadrare in RsIII in anul 2016 (Imobilul a mai fost incadrat  in RsI de expertul tehnic atestat M.D.R.A.P. Armand NEFIAN)"
"758","Strada CONSTANTIN RADULESCU MOTRU","8","Sector 4","1976","S+P+10E","79","2010","Constantin IEREMIA","3.Clasa de risc seismic RsIII.",,
"759","Strada CRISANA (colT cu Strada HORATIU)","7 (28)","Sector 1","1928 - 1940","Ds+P+1E+Ma+Pod","3","2019","Zefir APOSTOL","3.Clasa de risc seismic RsIII.","Imobilul a mai fost incadrat  in RSI; expertiza tehnica in an 1993  Cinstantin ARIENESCU",
"760","Bulevardul DACIA","51 (fost 7)","Sector 1","1932","Ds+P+6E","21","1997","Marin TEODOR","3.Clasa de risc seismic RsIII.",,
"761","Bulevardul DACIA","88 (corp B)","Sector 2","1969","S+P+6E","36 (corp A+B)","2000","Horia DUGAN","3.Clasa de risc seismic RsIII.",,
"762","Bulevardul DACIA","178 (fost 148)","Sector 2","1914","S+P+2E+Ma","8","1993","Adina SIMION","3.Clasa de risc seismic RsIII.",,
"763","Strada DIMITRIE SALMEN","30 (corp B)","Sector 2","1934","Ds+P+1E+Ma","0","2016","Gabriel NEGULESCU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2016; AC nr.454/1619364/2018; PVRTL nr.1/2020"
"764","Calea DOROBANTILOR","47","Sector 1","1928","S+P+3E+Ma","10","1993","Rodica ANGELESCU","3.Clasa de risc seismic RsIII.",,
"765","Calea DOROBANTILOR","71","Sector 1","1937","Ds+P+3E+Pod","7","2000","Virgil SAVA","3.Clasa de risc seismic RsIII.","Imobilul a mai fost incadrat in RSIII- expertiza tehnica in an 2001 - Emilian TiTaru  astfel-menTiune: RsI 2001 - Emilian TiTaru pentru corpul principal sc.2; 3; 4; Si 5; RsII 2016 - Ioan Paul pentru corpul principal sc.1","Incadrare in clasa de risc seismic RsIII spre RsII in anul 2000"
"766","Intrarea DUMITRESCU PROCOPIE","4","Sector 2","1929","S+P+2E","8","1993","Adina SIMION","3.Clasa de risc seismic RsIII.",,
"767","Strada ELENA CUZA","29","Sector 4","1930","S+P+1E+Ma",,"2011","Bogdan GULEAC","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2011"
"768","Strada EMANOIL BACALOGLU","2 (Corp C2)","Sector 2","1940","P+1E","C2- spatiu pentru invatamant","2018","Mihai Voiculescu","3.Clasa de risc seismic RsIII.",,
"769","Strada EMIL RACOVITA","6 (bloc R1)","Sector 4","1964","S+P+9E","80","2011","Helmuth KOBER","3.Clasa de risc seismic RsIII.",,
"770","Bulevardul FERDINAND I","12","Sector 2","1932","S+P+3E","2","2007","Dan CAPATANA","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2007"
"771","Bulevardul FERDINAND I","12A","Sector 2","1930","S+P+2E+Ma","13","1996","Vladimir AMBROZIE","3.Clasa de risc seismic RsIII.",,
"772","Bulevardul FERDINAND I","135","Sector 2","1962","S+P+4E","60","1993","Radu PETROVICI","3.Clasa de risc seismic RsIII.",,
